日期,股票,開盤,最高,最低,收盤,成交量
2026-03-26,AAPL,254.10000610351562,255.0,251.60000610351562,252.6199951171875,28476700.0
2026-03-26,MSFT,376.9200134277344,377.05999755859375,369.6300048828125,371.0400085449219,31181200.0
2026-03-26,GOOGL,293.44000244140625,296.0,289.239990234375,290.92999267578125,29460700.0
2026-03-26,NVDA,177.10000610351562,181.22000122070312,176.85000610351562,178.67999267578125,162602100.0
2026-03-26,XOM,163.8699951171875,165.0,162.92999267578125,163.25999450683594,17192300.0
2026-03-26,CVX,206.0,207.24000549316406,204.6199951171875,205.14999389648438,8865000.0
2026-03-26,JPM,294.1499938964844,297.6400146484375,292.44000244140625,295.4200134277344,12188200.0
2026-03-26,GS,845.010009765625,854.75,833.9000244140625,841.8400268554688,1628900.0
2026-03-26,LMT,612.5,626.9299926757812,612.4199829101562,624.2000122070312,1190300.0
2026-03-26,BA,198.19000244140625,200.75,198.0,199.61000061035156,5055900.0
2026-03-26,TSLA,389.989990234375,396.2300109863281,385.010009765625,385.95001220703125,55157300.0
2026-03-26,^DJI,46314.23828125,46718.421875,46196.91015625,46429.48828125,462990000.0
2026-03-26,AAPL,254.10000610351562,255.0,251.60000610351562,252.6199951171875,28476700.0
2026-03-26,MSFT,376.9200134277344,377.05999755859375,369.6300048828125,371.0400085449219,31181200.0
2026-03-26,GOOGL,293.44000244140625,296.0,289.239990234375,290.92999267578125,29460700.0
2026-03-26,NVDA,177.10000610351562,181.22000122070312,176.85000610351562,178.67999267578125,162602100.0
2026-03-26,XOM,163.8699951171875,165.0,162.92999267578125,163.25999450683594,17192300.0
2026-03-26,CVX,206.0,207.24000549316406,204.6199951171875,205.14999389648438,8865000.0
2026-03-26,JPM,294.1499938964844,297.6400146484375,292.44000244140625,295.4200134277344,12188200.0
2026-03-26,GS,845.010009765625,854.75,833.9000244140625,841.8400268554688,1628900.0
2026-03-26,LMT,612.5,626.9299926757812,612.4199829101562,624.2000122070312,1190300.0
2026-03-26,BA,198.19000244140625,200.75,198.0,199.61000061035156,5055900.0
2026-03-26,TSLA,389.989990234375,396.2300109863281,385.010009765625,385.95001220703125,55157300.0
2026-03-26,^DJI,46314.23828125,46718.421875,46196.91015625,46429.48828125,462990000.0
2026-03-26,AAPL,254.10000610351562,255.0,251.60000610351562,252.6199951171875,28476700.0
2026-03-26,MSFT,376.9200134277344,377.05999755859375,369.6300048828125,371.0400085449219,31181200.0
2026-03-26,GOOGL,293.44000244140625,296.0,289.239990234375,290.92999267578125,29460700.0
2026-03-26,NVDA,177.10000610351562,181.22000122070312,176.85000610351562,178.67999267578125,162602100.0
2026-03-26,XOM,163.8699951171875,165.0,162.92999267578125,163.25999450683594,17192300.0
2026-03-26,CVX,206.0,207.24000549316406,204.6199951171875,205.14999389648438,8865000.0
2026-03-26,JPM,294.1499938964844,297.6400146484375,292.44000244140625,295.4200134277344,12188200.0
2026-03-26,GS,845.010009765625,854.75,833.9000244140625,841.8400268554688,1628900.0
2026-03-26,LMT,612.5,626.9299926757812,612.4199829101562,624.2000122070312,1190300.0
2026-03-26,BA,198.19000244140625,200.75,198.0,199.61000061035156,5055900.0
2026-03-26,TSLA,389.989990234375,396.2300109863281,385.010009765625,385.95001220703125,55157300.0
2026-03-26,^DJI,46314.23828125,46718.421875,46196.91015625,46429.48828125,462990000.0
2026-03-26,AAPL,254.10000610351562,255.0,251.60000610351562,252.6199951171875,28476700
2026-03-26,MSFT,376.9200134277344,377.05999755859375,369.6300048828125,371.0400085449219,31181200
2026-03-26,GOOGL,293.44000244140625,296.0,289.239990234375,290.92999267578125,29460700
2026-03-26,NVDA,177.10000610351562,181.22000122070312,176.85000610351562,178.67999267578125,162602100
2026-03-26,XOM,163.8699951171875,165.0,162.92999267578125,163.25999450683594,17192300
2026-03-26,CVX,206.0,207.24000549316406,204.6199951171875,205.14999389648438,8865000
2026-03-26,JPM,294.1499938964844,297.6400146484375,292.44000244140625,295.4200134277344,12188200
2026-03-26,GS,845.010009765625,854.75,833.9000244140625,841.8400268554688,1628900
2026-03-26,LMT,612.5,626.9299926757812,612.4199829101562,624.2000122070312,1190300
2026-03-26,BA,198.19000244140625,200.75,198.0,199.61000061035156,5055900
2026-03-26,TSLA,389.989990234375,396.2300109863281,385.010009765625,385.95001220703125,55157300
2026-03-26,^DJI,46314.23828125,46718.421875,46196.91015625,46429.48828125,462990000
